phrase,meaning_ja,example_sentence,translated_sentence,source_url,error,deepl_filled_fields
abstract concept,抽象概念,Philosophy often deals with an abstract concept like truth or beauty.,哲学は真実や美といった抽象概念を扱うことが多い。,https://ejje.weblio.jp/content/abstract%20concept,,
academic achievement,学業成就,Students are recognized for their outstanding academic achievement at the annual awards ceremony.,学生たちは年次授賞式で卓越した学業成績を認められます。,https://ejje.weblio.jp/content/academic%20achievement,,
academic career,学歴,She decided to pursue an academic career after completing her doctoral degree.,彼女は博士号取得後、学究の道に進むことを決めた。,https://ejje.weblio.jp/content/academic%20career,,
academic circles,学界,The new theory generated significant interest within academic circles.,その新しい理論は学界で大きな関心を集めた。,https://ejje.weblio.jp/content/academic%20circles,,
academic community,学術界,The conference brought together experts from across the global academic community.,その会議は世界中の学術界から専門家を集めた。,https://ejje.weblio.jp/content/academic%20community,404 Client Error: 404 for url: https://ejje.weblio.jp/content/academic%20community,meaning_ja
academic debate,学術的な議論,A lively academic debate ensued regarding the interpretation of the historical data.,その歴史的データの解釈を巡って活発な学術的議論が繰り広げられた。,https://ejje.weblio.jp/content/academic%20debate,404 Client Error: 404 for url: https://ejje.weblio.jp/content/academic%20debate,meaning_ja
academic discipline,学問分野,Linguistics is an academic discipline focused on the study of language.,言語学は言語の研究に焦点を当てた学問分野です。,https://ejje.weblio.jp/content/academic%20discipline,,meaning_ja
academic discourse,学術的言説,Mastering academic discourse is crucial for effective communication in higher education.,高等教育において効果的なコミュニケーションのためには、学術的言説を習得することが不可欠です。,https://ejje.weblio.jp/content/academic%20discourse,404 Client Error: 404 for url: https://ejje.weblio.jp/content/academic%20discourse,meaning_ja
academic institution,学術研究機関,This academic institution is renowned for its cutting-edge research in science.,この学術研究機関は、科学における最先端の研究で有名です。,https://ejje.weblio.jp/content/academic%20institution,,
academic journal,学術雑誌、学術誌,Researchers often publish their findings in a peer-reviewed academic journal.,研究者たちは査読付き学術雑誌に研究結果を発表することが多い。,https://ejje.weblio.jp/content/academic%20journal,,
academic life,学究生活,Balancing research and teaching is a common challenge in academic life.,研究と教育のバランスを取ることは、学究生活における一般的な課題です。,https://ejje.weblio.jp/content/academic%20life,,
academic performance,学力；学業成績,Parental involvement can significantly influence a child's academic performance.,親の関与は子供の学業成績に大きく影響を与えることがあります。,https://ejje.weblio.jp/content/academic%20performance,,
academic research,学術研究,Funding for academic research is essential for advancing knowledge and innovation.,学術研究への資金提供は、知識と革新を進めるために不可欠です。,https://ejje.weblio.jp/content/academic%20research,,
academic skills,学力,Developing strong academic skills is vital for success in university studies.,大学での学習を成功させるには、優れた学力を身につけることが不可欠です。,https://ejje.weblio.jp/content/academic%20skills,404 Client Error: 404 for url: https://ejje.weblio.jp/content/academic%20skills,meaning_ja
academic study,学術研究,The project involves an extensive academic study of ancient civilizations.,そのプロジェクトは古代文明に関する広範な学術研究を含みます。,https://ejje.weblio.jp/content/academic%20study,,
academic success,学業の成功,Hard work and effective study habits contribute to academic success.,勤勉さと効果的な学習習慣が学業の成功に貢献します。,https://ejje.weblio.jp/content/academic%20success,,meaning_ja
academic work,学術研究,Submitting original academic work is a fundamental principle of integrity.,独創的な学術研究を提出することは、誠実さの基本原則です。,https://ejje.weblio.jp/content/academic%20work,404 Client Error: 404 for url: https://ejje.weblio.jp/content/academic%20work,meaning_ja
academic world,学界,Her innovative ideas quickly gained recognition in the academic world.,彼女の革新的なアイデアは学界で急速に認められた。,https://ejje.weblio.jp/content/academic%20world,,
academic writing,学術論文の執筆,Clear and concise academic writing is crucial for publishing research papers.,明確で簡潔な学術論文の執筆は、研究論文の発表に不可欠です。,https://ejje.weblio.jp/content/academic%20writing,,meaning_ja
academic year,学年,The new academic year begins in September for most universities.,ほとんどの大学では、新しい学年は9月に始まります。,https://ejje.weblio.jp/content/academic%20year,,
accept responsibility,責任を引き受ける,Leaders must be willing to accept responsibility for their team's performance.,リーダーはチームの業績に対する責任を喜んで引き受けるべきだ。,https://ejje.weblio.jp/content/accept%20responsibility,404 Client Error: 404 for url: https://ejje.weblio.jp/content/accept%20responsibility,meaning_ja
acceptable behaviour,許容される行動,Students are expected to maintain acceptable behaviour in the classroom at all times.,生徒は常に教室で許容される行動を維持することが求められます。,https://ejje.weblio.jp/content/acceptable%20behaviour,404 Client Error: 404 for url: https://ejje.weblio.jp/content/acceptable%20behaviour,meaning_ja
